,GINI
TMAX_LITTER,0.18728505
TMIN_SOIL,0.14569023
WIND,0.11639216
TMAX_SOIL,0.10587831
D_W_PRECN,0.09588891
TMAX_AIR,0.0786071
TMIN_LITTER,0.07459067
RADN,0.07216127
HMAX_AIR,0.04818599
HMIN_AIR,0.04467222
TMIN_AIR,0.030648082
